text,predicted_category,risk_score,confidence,sentiment_label,sentiment_score,alert_level,top_keywords,key_entities,analyst_summary
": > Last year the US suffered almost 10,000 wrongful or accidental : > deaths by handguns alone (FBI statistics). In the same year, the UK : > suffered 35 such deaths (Scotland Yard statistics). The population : > of the UK is about 1/5 that of the US (10,000 …",Physical Threat,93.0,0.93,negative,-1.0,Critical,"['seattle', 'vancouver', 'homicides', 'homicide', 'attacks', 'handguns', 'rate', 'gun']","['Last year (DATE)', 'US (GPE)', 'FBI (ORG)', 'the same year (DATE)', 'UK (GPE)', 'Scotland Yard (ORG)', 'USA (GPE)', 'Chicago (GPE)']","Physical Threat signal detected. Key terms: seattle, vancouver, homicides, homicide, attacks, handguns."
"April 19, 1993 As William O. Douglas noted, ""If a powerful sponsor is lacking, individual liberty withers -- in spite of glowing opinions and resounding constitutional phrases."" The legislative scorecard outlined below resulted from subcommittee, committee, an…",Physical Threat,90.1,0.901,neutral,0.0,Critical,"['hb', 'committee', 'sb', 'firearms', 'defeated', 'passed', 'died', 'vote']","['April 19, 1993\n \n (DATE)', 'William O. Douglas (PERSON)', 'Arizona (GPE)', '1233 (DATE)', 'NRA (GPE)', 'House (ORG)', '36-18 (DATE)', 'Arkansas (GPE)']","Physical Threat signal detected. Key terms: hb, committee, sb, firearms, defeated, passed."
"From article <1993Apr18.001319.2340@gnv.ifas.ufl.edu>, by jrm@gnv.ifas.ufl.edu: It certainly is provable. Around a million Americans every year defend themselves with firearms. In many of these cases the defender doesn't even have to fire a shot! The mere pres…",Physical Threat,90.1,0.901,negative,-1.0,Critical,"['bear arms', 'guns', 'bear', 'arms', 'gnv ifas', 'ifas ufl', 'gnv', 'ifas']","['every year (DATE)', 'Klintonistas (ORG)', 'Statistics (ORG)', 'FYI (ORG)', 'Scott Kennedy (PERSON)', 'Brewer (PERSON)', 'Patriot (PERSON)']","Physical Threat signal detected. Key terms: bear arms, guns, bear, arms, gnv ifas, ifas ufl."
" From: ""Preston K. Covey"" <covey+@andrew.cmu.edu> Subject: Gun Stats & Mortal Risks Date: Mon, 15 Feb 1993 18:35:05 -0500 (EST) Folks, Hail from the nether world. On February 4th, the Wall Street Journal carried a front-page article by Erik Larson entitled ""Ar…",Physical Threat,89.0,0.89,negative,-1.0,Critical,"['nejm', 'risk', 'gun', 'deaths', 'stat', 'risks', 'study', '43 times']","['Preston K. Covey (PERSON)', 'February 4th (DATE)', 'the Wall Street Journal (ORG)', 'Erik Larson (PERSON)', 'WSJ (ORG)', 'Preston K. Covey\n\n\n\t (PERSON)', 'Paxton Quigley (PERSON)', '~A (PERSON)']","Physical Threat signal detected. Key terms: nejm, risk, gun, deaths, stat, risks."
" But this is all gun control laws end up doing. Politicians can never manage to get a handle on those who obtain arms illegally, so all their laws can ever do is further restrict people who obtain them legally. Karen McNutt, a local attorney, states that there…",Physical Threat,87.8,0.878,neutral,0.0,Critical,"['gun', 'laws', 'crimes', 'violent', 'gun control', 'violent crime', 'crime', 'gun owners']","['Karen McNutt (PERSON)', 'Massachusetts (GPE)', 'the past year (DATE)', 'last year (DATE)', 'NECESSARY (ORG)', 'NO IMPROVEMENT (LOC)']","Physical Threat signal detected. Key terms: gun, laws, crimes, violent, gun control, violent crime."
" Why don't you call the City and ask? Oak Park also has an illegal handgun ban as well, but does allow those with a ""collectors FFL"" to possess (""collectible?"") handguns. Probably a fine in practical terms. It wouldn't impede your defense at all. There was an …",Physical Threat,87.3,0.873,negative,-1.0,Critical,"['oak', 'park', 'anti', 'anti gun', 'handgun', 'police', 'gun', 'police chief']","['FFL (ORG)', 'Oak Park (GPE)', 'Village (PERSON)', 'NRA (GPE)', 'the Oak Park Police (ORG)', 'L.V. Cipriani (PERSON)', 'H&K HK-94 (ORG)', 'Chicago (GPE)']","Physical Threat signal detected. Key terms: oak, park, anti, anti gun, handgun, police."
" Killed by handgun, or killed? If I'm dead, I don't much care if it was by being shot or stabbed to death. I don't think you can get an accurate indicator of how safe England is compared to Switzerland by concentrating only on handgun murders and completely ig…",Physical Threat,87.2,0.872,positive,1.0,Critical,"['killed', 'murders', 'committing', 'handgun', 'intent', 'crime', 'available', 'rate violent']","['England (GPE)', 'Switzerland (GPE)']","Physical Threat signal detected. Key terms: killed, murders, committing, handgun, intent, crime."
"This was posted by Lyn Bates to the firearms-politics mailing list: I recently learned that Don Kates was going to be in Boston to give a talk at the Harbard Law School about the Waco situation. (Of course, this was all set up after the incident started but lo…",Physical Threat,85.4,0.854,negative,-1.0,Critical,"['batf', 'warrant', 'agents', 'media', 'police', 'koresh', 'guns', 'law school']","['Lyn Bates (PERSON)', 'Don Kates (PERSON)', 'Boston (GPE)', 'the Harbard Law School (ORG)', 'Waco (PERSON)', 'yesterday (DATE)', 'Kates (ORG)', 'the day before (DATE)']","Physical Threat signal detected. Key terms: batf, warrant, agents, media, police, koresh."
"[An article from comp.org.eff.news, EFFector Online 5.06 - Carl] April 16, 1993 INITIAL EFF ANALYSIS OF CLINTON PRIVACY AND SECURITY PROPOSAL The Clinton Administration today made a major announcement on cryptography policy which will effect the privacy and se…",Cyber,84.8,0.997,positive,0.5,High,"['administration', 'inquiry', 'agents', 'escrow agents', 'security', 'escrow', 'key', 'privacy']","['comp.org.eff.news (ORG)', 'April 16, 1993 (DATE)', 'EFF (ORG)', 'SECURITY (ORG)', 'today (DATE)', 'Administration (ORG)', 'the \nAdministration (ORG)', 'the National Security Agency (ORG)']","Cyber signal detected. Key terms: administration, inquiry, agents, escrow agents, security, escrow."
Note: This file will also be available via anonymous file transfer from csrc.ncsl.nist.gov in directory /pub/nistnews and via the NIST Computer Security BBS at 301-948-5717. --------------------------------------------------- THE WHITE HOUSE Office of the Pres…,Cyber,84.7,0.996,positive,0.5,High,"['encryption', 'technology', 'chip', 'protect', 'key escrow', 'administration', 'encryption technology', 'privacy']","['the NIST Computer Security (ORG)', 'THE WHITE HOUSE\n\n                  Office of the Press (ORG)', 'April 16, 1993 (DATE)', 'today (DATE)', 'the Federal Government (ORG)', 'years (DATE)']","Cyber signal detected. Key terms: encryption, technology, chip, protect, key escrow, administration."
